{'loss': 0.163, 'grad_norm': 14.6563138961792, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2697, 'grad_norm': 28.214860916137695, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2882, 'grad_norm': 18.95949935913086, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.0872, 'grad_norm': 4.78433084487915, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.3867, 'grad_norm': 14.727789878845215, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1466, 'grad_norm': 12.60745620727539, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.4758, 'grad_norm': 21.36972427368164, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.3946, 'grad_norm': 18.120800018310547, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2337, 'grad_norm': 14.776543617248535, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.4024, 'grad_norm': 33.3590087890625, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.3001, 'grad_norm': 26.957460403442383, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.7338, 'grad_norm': 39.5835075378418, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1092, 'grad_norm': 9.505966186523438, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.7532, 'grad_norm': 31.560670852661133, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.475, 'grad_norm': 36.07441711425781, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1033, 'grad_norm': 6.673901557922363, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.6238, 'grad_norm': 26.73659324645996, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1854, 'grad_norm': 13.359684944152832, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2333, 'grad_norm': 13.970769882202148, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2157, 'grad_norm': 12.999777793884277, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.2243, 'grad_norm': 10.776389122009277, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.5073, 'grad_norm': 32.8164176940918, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.1843, 'grad_norm': 16.104442596435547, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.4116, 'grad_norm': 25.526535034179688, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.0769, 'grad_norm': 7.427075386047363, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.0806, 'grad_norm': 10.245170593261719, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 0.6055, 'grad_norm': 20.169212341308594, 'learning_rate': 1e-06, 'epoch': 0.03}
